직군 정보,company_kind,mid_company_kind,big_company_kind
,합금철제조업,금속·재료·철강·요업,제조·화학
,전자집적회로제조업,전기·전자·제어,제조·화학
,기체연료관련제품도매업,유통·무역·상사,판매∙유통
,항구해상터미널운영업,호텔·여행·항공,서비스업
,지주회사,기타금융,은행·금융업
,호텔업,호텔·여행·항공,서비스업
,종합스포츠시설운영업,레저·스포츠·여가,서비스업
,남자용겉옷제조업,섬유·의류·패션,제조·화학
,지주회사,기타금융,은행·금융업
,경영컨설팅업,연구소·컨설팅·조사,기관∙협회
,스포츠클럽운영업,레저·스포츠·여가,서비스업
,지주회사,기타금융,은행·금융업
,상품종합도매업,유통·무역·상사,판매∙유통
,기술직업훈련학원,전문·기능학원,교육업
,과실류도매업,유통·무역·상사,판매∙유통
,상품종합도매업,유통·무역·상사,판매∙유통
,가공공작기계제조업,기계·설비·자동차,제조·화학
,빵류제조업,식품가공·개발,제조·화학
,상품종합도매업,유통·무역·상사,판매∙유통
,금속가공제품제조업,금속·재료·철강·요업,제조·화학
,도금착색표면처리강재제조업,금속·재료·철강·요업,제조·화학
,원양어업,농업·어업·광업·임업,제조·화학
,전문도매업,유통·무역·상사,판매∙유통
,금속제품도매업,유통·무역·상사,판매∙유통
,합성수지선건조업,조선·항공·우주,제조·화학
,도금착색표면처리강재제조업,금속·재료·철강·요업,제조·화학
,사행시설관리운영업,시설관리·경비·용역,서비스업
,생수생산업,식품가공·개발,제조·화학
,도축업,농업·어업·광업·임업,제조·화학
,의약품도매업,유통·무역·상사,판매∙유통
,완제의약품제조업,제약·보건·바이오,의료·제약·복지
,스포츠서비스업,레저·스포츠·여가,서비스업
,주거용건물개발공급업,건설·건축·토목·시공,건설업
,시장조사여론조사업,연구소·컨설팅·조사,기관∙협회
,선박구성부분품제조업,조선·항공·우주,제조·화학
,도금착색표면처리강재제조업,금속·재료·철강·요업,제조·화학
,육류도매업,유통·무역·상사,판매∙유통
,시내버스운송업,운송·운수·물류,판매∙유통
,사무상업용공공기관용건물건설업,건설·건축·토목·시공,건설업
,부동산개발공급업,건설·건축·토목·시공,건설업
,의약품도매업,유통·무역·상사,판매∙유통
,연탄석탄가공품제조업,석유·화학·에너지,제조·화학
,토공사업,건설·건축·토목·시공,건설업
,가정용비전기식조리난방기구제조업,생활용품·소비재·사무,제조·화학
,연료용가스제조배관공급업,기계·설비·자동차,제조·화학
,주류도매업,유통·무역·상사,판매∙유통
,가정용비전기식조리난방기구제조업,생활용품·소비재·사무,제조·화학
,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
,석유정제물재처리업,석유·화학·에너지,제조·화학
,내화요업제품제조업,금속·재료·철강·요업,제조·화학
,지주회사,기타금융,은행·금융업
,방적업,섬유·의류·패션,제조·화학
,의약용화합물항생물질제조업,제약·보건·바이오,제조·화학
,화학물질화학제품도매업,유통·무역·상사,판매∙유통
,화학물질화학제품도매업,유통·무역·상사,판매∙유통
,자동차용신품조향장치현가장치제조업,기계·설비·자동차,제조·화학
,절연선케이블제조업,전기·전자·제어,제조·화학
,낙농품식물성유지도매업,유통·무역·상사,판매∙유통
,부동산업,부동산·임대·중개,건설업
,사업시설유지관리서비스업,시설관리·경비·용역,서비스업
,건물토목엔지니어링서비스업,건설·건축·토목·시공,건설업
,양계업,농업·어업·광업·임업,제조·화학
,알루미늄압연압출연신제품제조업,금속·재료·철강·요업,제조·화학
,통관대리관련서비스업,호텔·여행·항공,서비스업
,시계귀금속제품도매업,유통·무역·상사,판매∙유통
,경영컨설팅업,연구소·컨설팅·조사,기관∙협회
,탁주약주제조업,식품가공·개발,제조·화학
,게임소프트웨어개발공급업,게임,IT·웹·통신
,골프장운영업,레저·스포츠·여가,서비스업
,통신판매업,판매,판매∙유통
,태양력발전업,석유·화학·에너지,제조·화학
,사무지원서비스업,기타서비스업,서비스업
,토목시설물건설업,건설·건축·토목·시공,건설업
,백화점,판매,판매∙유통
,신문발행업,출판·인쇄·사진,미디어·디자인
,서적신문잡지류소매업,판매,판매∙유통
,방문판매업,판매,판매∙유통
,일반서적출판업,출판·인쇄·사진,미디어·디자인
,온라인교육학원,학원·어학원,교육업
,과실류도매업,유통·무역·상사,판매∙유통
,일반화물자동차운송업,운송·운수·물류,판매∙유통
,인테리어디자인업,실내·인테리어·조경,건설업
,탁주약주제조업,식품가공·개발,제조·화학
,봉제의복제조업,섬유·의류·패션,제조·화학
,남녀용겉옷셔츠도매업,유통·무역·상사,판매∙유통
,가정용비전기식조리난방기구제조업,생활용품·소비재·사무,제조·화학
,연료용가스제조배관공급업,기계·설비·자동차,제조·화학
,가정용비전기식조리난방기구제조업,생활용품·소비재·사무,제조·화학
,건설토목공사용기계장비임대업,렌탈·임대,서비스업
,아파트건설업,건설·건축·토목·시공,건설업
,주거용건물개발공급업,건설·건축·토목·시공,건설업
,지정폐기물처리업,환경,제조·화학
,배합사료제조업,기타제조업,제조·화학
,주거용건물건설업,건설·건축·토목·시공,건설업
,주거용건물개발공급업,건설·건축·토목·시공,건설업
,콜센터텔레마케팅서비스업,기타서비스업,서비스업
,인력공급업,시설관리·경비·용역,서비스업
,자동차임대업,렌탈·임대,서비스업
,완제의약품제조업,제약·보건·바이오,의료·제약·복지
,보험대리중개업,증권·보험·카드,은행·금융업
,주거용건물개발공급업,건설·건축·토목·시공,건설업
,도시정기육상여객운송업,운송·운수·물류,판매∙유통
,골프장운영업,레저·스포츠·여가,서비스업
,운송장비용주유소운영업,AS·카센터·주유,서비스업
,아파트건설업,건설·건축·토목·시공,건설업
,비주거용건물개발공급업,건설·건축·토목·시공,건설업
,여객자동차터미널운영업,호텔·여행·항공,서비스업
,아파트건설업,건설·건축·토목·시공,건설업
,전구조명장치제조업,생활용품·소비재·사무,제조·화학
,아파트건설업,건설·건축·토목·시공,건설업
,발광다이오드제조업,반도체·광학·LCD,제조·화학
,전기통신공사업,환경·설비,건설업
,전자감지장치제조업,전기·전자·제어,제조·화학
,주거용건물임대업,부동산·임대·중개,건설업
